,developer,item_id,price,year_release
0,valve,70,9.99,1998
55,outerlight ltd.,2400,9.99,2006
115,glyphx games,3800,9.99,2005
116,introversion software,1520,9.99,2006
132,outerlight ltd.,2420,9.99,2006
138,facepunch studios,4000,9.99,2006
3240,bugbear entertainment,2990,9.99,2006
3245,bugbear entertainment,6220,7.49,2005
3248,funcom,6310,9.99,2000
3251,"firaxis games,feral interactive (mac)",7600,9.99,2006
3252,"crystal dynamics,feral interactive (mac)",8000,8.99,2007
3254,"capcom co., ltd.",6550,19.99,2006
3258,id software,2280,4.99,1995
3266,id software,9160,14.99,1995
3267,id software,2300,4.99,1994
3269,id software,2270,4.99,1994
3273,gray matter studios,9010,4.99,2001
3274,id software,2310,4.99,2007
3277,"2k boston,2k australia",7670,19.99,2007
3401,relic entertainment,4570,12.99,2006
3410,relic entertainment,4580,12.99,2006
3422,the creative assembly,4760,9.99,2004
3439,rockstar north,12130,9.99,2004
3440,remedy entertainment,12150,9.99,2003
3441,crystal dynamics,7000,6.99,2006
3445,remedy entertainment,12140,9.99,2001
3449,ea los angeles,17480,19.99,2008
3459,infinite interactive,12500,9.99,2007
3462,"frontier,aspyr (mac)",2700,19.99,2006
3476,"epic games, inc.",13250,9.99,1998
3477,ubisoft,13560,9.99,2003
3478,crytek studios,13520,9.99,2004
3483,ubisoft romania,15200,9.99,2007
3484,1c: maddox games,15320,9.99,2006
3492,telltale games,8310,9.99,2005
3493,bigant studios,12590,9.99,2008
3494,"luc bernard,silverspherestudios",19500,4.99,2008
3496,lesta studio,11260,7.99,2007
3498,bugbear entertainment,12360,19.99,2008
3500,oddworld inhabitants,15710,2.99,1998
3503,oddworld inhabitants,15700,2.99,1997
3521,"microprose software, inc",7770,4.99,2001
3522,"microprose software, inc",7660,4.99,1997
3523,"microprose software, inc",7760,4.99,1993
3525,gsc game world,20510,9.99,2008
3535,crytek,17330,19.99,2008
3538,crytek,17300,19.99,2007
3547,"microprose software, inc",7730,4.99,1998
3548,cd projekt red,20900,9.99,2008
3586,firaxis games,16810,19.99,2008
3587,"red storm entertainment,ubisoft montreal",19830,9.99,2003
3588,traveller's tales,21000,19.99,2008
3596,gearbox software,15390,9.99,2008
3599,techland,3050,4.99,2006
3600,2d boy,22000,9.99,2008
3607,egosoft,2820,15.99,2008
3613,rockstar new england,12200,14.99,2008
3657,ubisoft montreal,19900,9.99,2008
3669,meridian4,11240,4.99,2008
3678,volition,9480,9.99,2009
3714,ea redwood shores,17470,19.99,2008
3730,dice,17410,19.99,2009
3870,hidden path entertainment,18500,9.99,2008
3876,monolith,16450,14.99,2009
3877,meridian4,11340,4.99,2009
3879,black sea studios ltd,25830,9.99,2005
3881,frictional games,22180,9.99,2007
3893,"epic games, inc.",13210,19.99,2007
3897,tale of tales,27020,4.99,2008
3901,criterion games,24740,19.99,2009
3934,ionfx,11330,4.99,2009
3936,reality pump studios,1930,9.99,2009
3939,gaijin entertainment,7510,9.99,2009
3942,ace team,22200,9.99,2009
3954,1c company,25900,6.99,2008
3956,sky fallen,7840,2.99,2009
3957,irrational games,8880,4.99,2002
3959,darklight games,1280,0.0,2009
3961,radical entertainment,10150,19.99,2009
3979,ascaron entertainment ltd.,12470,4.99,2004
