item_id,recomendaciones
761140,"[""Trivia Vault: 1980's Trivia 2"", 'Trivia Vault: Science &amp; History Trivia 2', 'Crankies Workshop: Grizzbot Assembly', 'Trivia Vault: Super Heroes Trivia 2', 'Crankies Workshop: Bozzbot Assembly']"
643980,"['Kingdoms CCG', 'Chronicle: RuneScape Legends', 'Spellstone', 'Yu-Gi-Oh! Duel Links', 'HEX: Shards of Fate']"
670290,"['Snooker-online multiplayer snooker game!', 'RoShamBo: Starter Fighter Pack', 'Trophy Fishing 2', 'Canvas The Gallery - Artist Pack', 'Heroes of Paragon']"
767400,"['Biozone', 'CHASER', 'Turtle Odyssey', 'Luxor: 5th Passage', 'Cyber Utopia - Artworks.']"
772540,"['Gabe Newell Simulator 2.0', ""Oddworld: Stranger's Wrath HD"", 'Global Ops: Commando Libya', 'HotLead', 'Tomb Raider III']"
774277,"['SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Rio', 'Pixel Puzzles Ultimate - Puzzle Pack: Owls']"
774278,"['SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Rio', 'Pixel Puzzles Ultimate - Puzzle Pack: Owls']"
770380,"['Sad City 42', 'PearsAndGrayWitch', 'Dungeon Creepster', 'Spoko and Poko', 'Madness']"
768880,"['Yumsters 2: Around the World', 'Atooms to Moolecules Demo', 'True Bliss', 'Project Druid - 2D Labyrinth Explorer-', 'Radial Impact']"
765320,"['Vaporwave Simulator', 'Bridge Creator 2015', 'the Breath.', 'StepX', ""Owl's Midnight Journey""]"
773650,"['The first thrust of God - All Aircrafts', 'Demon Lord', 'Moon Colonization Project: Pro Edition', ""Delicious - Emily's Hopes and Fears"", 'GORB']"
774271,"['SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Rio', 'Pixel Puzzles Ultimate - Puzzle Pack: Owls']"
773690,"['The first thrust of God', 'Moon Colonization Project: Pro Edition', 'Demon Lord', 'Fate of the World: Denial', 'Fate of the World: Migration']"
774279,"['SNOW - All Access Legend Pass', 'SNOW - Starter Pack', 'SNOW - Lifetime Pack', 'Pixel Puzzles Ultimate - Puzzle Pack: Rio', 'Pixel Puzzles Ultimate - Puzzle Pack: Owls']"
768060,"['Crow', ""DNO Rasa's Journey"", 'PLUTONIUM', 'Time Gun / 时间枪', 'One Bit']"
775880,"['MX vs. ATV Supercross Encore - 2015 KTM 450 SX-F MX', 'MX vs. ATV Supercross Encore - KTM 450 SX ATV', 'MX vs. ATV Supercross Encore - Supercross Track Pack 1', 'MX vs. ATV Supercross Encore - Supercross Track Pack 2', 'MX vs. ATV Supercross Encore - Supercross Track Pack 3']"
775881,"['RC Plane 3 - Canyon Scenario', 'RC Plane 3', 'FURIDASHI - PREMIUM CAR: 1999 NS15', 'FURIDASHI - PREMIUM CAR: 2016 PRETENDER', 'FURIDASHI - PREMIUM CAR: 1999 DRX-7']"
653960,"['Red Barton and The Sky Pirates', 'Fuzecat', 'The Night Christmas Ended', 'Champions of Aerial', 'Cavern Crumblers']"
282010,"['Carmageddon TDR 2000', 'Carmageddon 2: Carpocalypse Now', 'Cyberline Racing', 'Cologne', 'Monument']"
70,"['Half-Life: Opposing Force', 'Half-Life: Source', 'Half-Life: Blue Shift', 'Descent 2', 'Unreal Gold']"
752360,"['Chinese Souls-Hua Garden/华夏园', 'Devoid of Shadows', 'The Ship: Single Player', ""Guardian's Oath"", 'Kronos Soundtrack']"
766850,"['Vaporwave Simulator', 'Bridge Creator 2015', 'the Breath.', 'StepX', ""Owl's Midnight Journey""]"
716110,"['Supermagical', 'BASMENT DWELLERS', 'The Quest for Achievements', 'The Upside Down', 'Destination Dungeon: Crypts of Warthallow']"
1640,"['Disciples II: Rise of the Elves', 'Disciples III: Reincarnation', 'Age of Wonders', ""Age of Wonders II: The Wizard's Throne"", 'Might &amp; Magic: Heroes VI - Shades of Darkness']"
1630,"[""Disciples II: Gallean's Return"", ""Age of Wonders II: The Wizard's Throne"", 'Might &amp; Magic: Heroes VI - Shades of Darkness', 'Disciples III: Reincarnation', 'Disciples Sacred Lands Gold']"
2400,"['Axion', 'Blockland', 'In Exilium', 'FootLOL: Epic Fail League', 'Red Forest']"
759920,"['Warfront Defenders: Westerplatte', 'Rheksetor: Waves of Fury', 'Xtrike', 'Empyrean Frontier', 'Raid On Coasts']"
603280,"['KRUM - Edge Of Darkness', 'Devil Sealing Stone', 'Dark Throne', 'The Adventures of Capitano Navarro', 'ICEY OST']"
753110,"['It`s Village', 'RideOp - Thrill Ride Simulator', 'News Tycoon', 'Captivus', 'Deficis']"
753100,"['You Shall Not Jump: PC Master Race Edition', 'Ruthless Safari', 'Ruin City Gasolina', 'Homelesshood', '2D Neon Cube']"
764280,"[""Chimpact 1 - Chuck's Adventure"", 'Scooby Doo! &amp; Looney Tunes Cartoon Universe: Adventure', 'Marcus Level', 'Family Jewels', 'Charlie the Duck']"
3800,"['Prospekt', 'Vanquish', 'Call of Juarez™', 'Iron Soul', 'METAL GEAR SOLID V: THE PHANTOM PAIN']"
1520,"['Lost Technology', 'First Strike: Final Hour', 'Codename: Panzers - Cold War', 'Close Combat - Panthers in the Fog', 'Supreme Ruler The Great War']"
2420,"['Fallen Mage', 'Chinese Souls-Hua Garden/华夏园', 'Devoid of Shadows', 'Evil Hazard', ""Guardian's Oath""]"
4000,"['Insurgency', 'Contraption Maker', 'Tower Wars', 'Bus Simulator 16', 'RUNNING WITH RIFLES']"
4230,"['RACE On', 'RACE: Caterham Expansion', 'Sprint Cars Road to Knoxville', 'Test Drive: Ferrari Racing Legends', 'Ignite']"
4900,"['Fractal: Make Blooms Not War', 'Fantasy Mosaics 14: Fourth Color', 'Fan Fun', 'TILE', 'Pixel Puzzle Picross']"
2520,"['Yumsters 2: Around the World', 'Atooms to Moolecules Demo', 'True Bliss', 'Project Druid - 2D Labyrinth Explorer-', 'Radial Impact']"
6200,"['Tropico Reloaded', 'Tropico 3: Absolute Power', 'RollerCoaster Tycoon®: Deluxe', 'RollerCoaster Tycoon® 3: Platinum', 'Tropico 3']"
6210,"['M.U.D. TV', 'Pizza Connection', 'Prison Tycoon 3™: Lockdown', 'Airline Tycoon 2', 'Zoo Park']"
6300,"['The Longest Journey', 'STAR WARS™ - Knights of the Old Republic™', ""Divinity II: Developer's Cut"", 'Mass Effect 2', 'Mass Effect 2 Digital Deluxe Edition']"
2990,"['FlatOut', 'FlatOut: Ultimate Carnage', 'Ford Racing 3', 'Crazy Taxi', 'Midnight Club 2']"
6220,"['FlatOut: Ultimate Carnage', 'Midnight Club 2', 'FlatOut 2™', 'RACE 07', 'Ford Racing 3']"
6510,"['Dark Void™', 'Lost Planet: Extreme Condition Colonies Edition', 'Bionic Commando', 'Front Mission Evolved', 'The Club™']"
3980,"['Caesar™ IV', 'Imperium Romanum Gold Edition', 'City Life 2008', 'Caesar™ 3', 'Dawn of Discovery™']"
