,game_genre,user_id
0,action,REBAS_AS_F-T
1,adventure,REBAS_AS_F-T
2,animation and modeling,76561198063361762
3,audio production,Nyanonymous
4,casual,REBAS_AS_F-T
5,design and illustration,H-Alo
6,early access,Steamified
7,education,76561198063361762
8,free to play,DownSyndromeKid
9,indie,REBAS_AS_F-T
10,massively multiplayer,Hati_Hati_Hati_Hati_Hati_Hati
11,photo editing,76561198050235011
12,racing,REBAS_AS_F-T
13,rpg,REBAS_AS_F-T
14,simulation,REBAS_AS_F-T
15,software training,hterrormc
16,sports,REBAS_AS_F-T
17,strategy,Steamified
18,utilities,76561197993631180
19,video production,76561198126926393
20,web publishing,H-Alo
